id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
3404961351730127,y254b7g5h,1780859317,刺魂野,[大红灯笼]周易说今年乃水龙年，大水肆虐，潜龙出世,,,,,0,0,0,2012-01-23 11:31,微博 weibo.com,,,
3404960635419416,y2531mJPW,1757952631,四毛不是萨摩耶,@黄芃文@大水0565@牛牛家的陈幸福@may凡凡@寥寥雨天初三下午2点之前，国际大厦星巴克小聚，不见不散,,,"黄芃文,大水0565,牛牛家的陈幸福,may凡凡,寥寥雨天",,1,6,0,2012-01-23 11:28,iPhone客户端,,,
