id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
3405507387290211,y2jgSuAw3,1651489304,红叶哥-贾富,听爸爸讲过去的故事，1976年唐山大地震，1962年发大水。爸爸讲给女儿听的，我在旁边也听了一遍，好多都没给我讲过。沾了女儿的光了，呵呵。,,,,,0,0,0,2012-01-24 23:41,微博 weibo.com,,,
3405503478145190,y2jazyaW2,1709235967,先德服饰,复古甜美大水玉花纹，细节处的靓丽撞色。都是今天春夏的流行主打。O网页链接,,,,,0,0,0,2012-01-24 23:26,皮皮时光机,['https://ww4.sinaimg.cn/large/65e0deffjw1dpdxs78qwxj.jpg'],,
3405500043974087,y2j52gFQb,1993805975,化妆师-Fanny小蕉,看紧烟花爽爽''居然落水''落还落呀''何必钙大水先得''还让人看吗''偶遇表姐两公婆'''看完走过当当吃当当''又见到表姐剧''新年快乐@Suki0823@vivinlohas@摄影师MAN@Rachei皇后,,,"Suki0823,vivinlohas,摄影师MAN,Rachei皇后",,0,0,0,2012-01-24 23:12,iPhone客户端,['https://ww3.sinaimg.cn/large/76d71097jw1dpdxdzvjpxj.jpg'],,
