id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
3404786525692966,y20wcnT02,1762170870,波比仔变波比佬,大水之年就要来啦...旺我啊，不过冲太岁...也好啦[放鞭炮][大红灯笼][发红包],,,,,0,1,0,2012-01-22 23:57,微博 weibo.com,,,
3404781332708757,y20nPbmFD,1157370467,大智若,费翔为嘛没唱冬天里的一把火？当年唱了，大兴安岭失火了。那年唱毛毛雨，南方发大水了。今天晚上，他应该唱好汉歌，该出手时就出手啊,,,,,0,0,0,2012-01-22 23:36,微博 weibo.com,,,
3404781026834117,y20nksFRH,2272767380,喜乐汇婚礼创意广场,当年的费翔的一首【冬天里的一把火】彻底把大兴安岭烧了个光…又唱了个《三月里的小雨》，南方就发大水了…难怪不敢原唱了…顺道说句洛丹您是真唱…反正我是信了…@橙色闪耀sd,,,橙色闪耀sd,,0,1,0,2012-01-22 23:35,Android客户端,,,
