id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
3400089676209133,y02kDq3hj,2637053094,内蒙古记者,.如果有一天大水淹没了我的家，我选择带走的不是财产，而是你。,,,,,0,0,0,2012-01-10 00:53,周博通微博管家,['https://ww1.sinaimg.cn/large/9d2e3ca6jw1dowo0ls4l3j.jpg'],,
3400088640208184,y02iY0S9O,2542834391,呼和浩特市大诚传媒有限公司,.如果有一天大水淹没了我的家，我选择带走的不是财产，而是你。,,,,,0,0,0,2012-01-10 00:49,周博通微博管家,['https://ww1.sinaimg.cn/large/979092d7jw1downwbp38bj.jpg'],,
3400088128499102,y02i8zF0i,2279797297,内蒙古商报广告中心,.如果有一天大水淹没了我的家，我选择带走的不是财产，而是你。,,,,,0,0,0,2012-01-10 00:47,周博通微博管家,['https://ww4.sinaimg.cn/large/87e2f231jw1downu7a0qij.jpg'],,
