id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
3405838158500630,y2rSnzFoW,2377343051,大水的店,#大水的店的音乐#上个星期去世的EttaJames，灵魂乐黄金时代最重要的女歌手，这段时间店里面都在放她的歌作为缅怀和纪念。,,,,大水的店的音乐,0,1,0,2012-01-25 21:35,微博 weibo.com,['https://ww3.sinaimg.cn/large/8db3604bjw1dpf07lgxwkj.jpg'],,
3405837830305502,y2rRR1hts,1338247443,劉傑茶文明学者,山河堰落，大水常平——大商埠读后感【转】O网页链接,,,,,1,6,0,2012-01-25 21:34,关联博客,,,
3405832144711478,y2rIGjLFA,2137817892,电影幸福迷途,#龙年幸福宝鉴#农曆四、五、六月出生者命格中较为火旺，一般都忌火、利水；故此于明年壬辰大水之年最为有利，做事较顺遂，亦可作适量的投机投资。遇上大水之年，如本身命格忌金水者，宜以火作补够，以助旺自身；另外，犯太岁者，即龙、狗、牛、兔，亦适合以红色作抢旺，平大水之年的冲击。via@麦玲玲,,,麦玲玲,龙年幸福宝鉴,0,0,0,2012-01-25 21:12,皮皮时光机,['https://ww2.sinaimg.cn/large/7f6c8324jw1dpezj2lx48j.jpg'],,
