id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
3401326962668720,y0ywgbcfS,1757952631,四毛不是萨摩耶,今晚18:30分，友谊路科技大厦@炼瓦家日式料理餐厅小聚，@大水0565@黄芃文@牛牛家的陈幸福@寥寥雨天收到否？不见不散，赶不上吃饭的赶后一场。,,,"炼瓦家日式料理,大水0565,黄芃文,牛牛家的陈幸福,寥寥雨天",,1,10,0,2012-01-13 10:50,微博 weibo.com,,,
3401326686036257,y0yvOpkiZ,1899667515,野原太一,我发现武汉人就这爱好，武昌说汉口脏，汉口说武昌土，汉阳心理念叨“大水一来淹死你们地势低的”。最可笑的是有次听一个青山的说“我见不得汉口，从来不去，汉口就是乡里”。我可是武汉三镇都住过，其实我觉得哪都有好有坏，适合自己最重要，不是么？[挖鼻屎],,,,,3,10,0,2012-01-13 10:48,Weico.iPhone,,,
3401325662119222,y0yua8Tj0,1899762055,上海日月光中心,如果有一天大水淹没了我的家，我选择带走的不是财产，而是你。,,,,,6,0,0,2012-01-13 10:44,皮皮时光机,['https://ww3.sinaimg.cn/large/713c1187jw1dp0lyu478ej.jpg'],,
