id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
3400587091398694,y0fgV5RRA,1649377122,读客熊猫君,【读小说，学知识】#读客知识小说文库#《山海经密码》人物解码63：共鼓，黄帝时发明家，据传是他和一个叫狄货的人首次发明了船。有一次黄河发大水，共鼓和狄货坐进空心树里逃生。后来他们将“凿木为舟”打通水路的设想告诉黄帝，黄帝听后，指挥人们终于造出了船。随机送书1本，快转哦！,,,,读客知识小说文库,71,51,0,2012-01-11 09:50,孔明社交管理,['https://ww3.sinaimg.cn/large/624f7f62jw1doy956fswhj.jpg'],,
3400583459345245,y0fb3Dd7L,1757952631,四毛不是萨摩耶,@黄芃文@牛牛家的陈幸福@may凡凡@大水0565@寥寥雨天这个周五我们吃什么，赶紧想啊啊，我是想不出了,,,"黄芃文,牛牛家的陈幸福,may凡凡,大水0565,寥寥雨天",,2,7,0,2012-01-11 09:35,微博 weibo.com,,,
