id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
3397113888923971,xEKniBrx1,1497245325,刘雁at壹嘉出版,1939年7月的北京，骄阳似火。来公园里游玩避暑的游客发现，所有的游船都不见了，原来北京各大公园的游船都被紧急征调到天津，此时，陆上城市天津，已经变成了一个水上世界。视频1939天津大水：O网页链接,,,,,2,2,0,2012-01-01 19:48,微博 weibo.com,,,
3397111460910297,xEKjo3OOd,1725675313,麦克峰MICFENG,今天十一月一日，也是城市之光巡映的最后一站！在大水的店@大水的店@张大水穿红衣过新年！明天网络发布城市之光！,,,"大水的店,张大水",,0,18,0,2012-01-01 19:39,WeicoLomo,['https://ww2.sinaimg.cn/large/66dbb731jw1don5z22yt0j.jpg'],,
3397109581569830,xEKgm6AnQ,1497245325,刘雁at壹嘉出版,找到一组1939年天津大水照片。应该是当时日本驻津机构所摄。O网页链接,,,,,11,5,0,2012-01-01 19:31,微博 weibo.com,['https://ww2.sinaimg.cn/large/593e268dtw1don5qwjq7gj.jpg'],,
