id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
3406763732954067,y2PXfcouf,2040950192,甘肃郝志强,盘点一下这个年：二十八晚上喝多，除夕上午胃疼头疼，下午贴对联，晚上刷微博发短信没看春晚，初一值班领导来慰问，初二带家人出去吃火锅，初三睡觉，晚上再次喝酒吃正宗臊子面，初四继续休息，晚上夜班单位发大水扫水铲冰几乎未睡，初五陪媳妇逛街kfc吃火锅，初六今天值班，假期就要结束。,,,,,1,0,0,2012-01-28 10:53,微博 weibo.com,,,
3406752523625652,y2PFafdcg,1187570434,小李飞刀的春天,去年九月份大水淹后的景象，这个村庄大部份被淹,,,,,0,0,0,2012-01-28 10:09,微博 weibo.com,['https://ww3.sinaimg.cn/large/46c8e302jw1dphx8fixjtj.jpg'],,
3406750286231649,y2PByq98t,1660466595,常州网,#常州新闻#【市中心水管爆裂节日期间应急能力受考验】26日下午，位于延陵路与小河沿路十字路口处的自来水主管道爆管，大水直接流进地势较低的副食品大楼地下停车场，来不及开走的12辆汽车浸泡在近0.8米的深水中。O网页链接图片by@阿戴围脖,,,阿戴围脖,常州新闻,4,1,0,2012-01-28 10:00,皮皮时光机,['https://ww1.sinaimg.cn/large/62f8b5a3jw1dphwz6hc4pj.jpg'],,
