id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
3408296528167060,y3tPuygCM,1405439415,古杯具,这是最好的城市这是最坏的城市这就是武汉#张大水#,,,,张大水,0,0,0,2012-02-01 16:24,微博 weibo.com,,,
3408296247602148,y3tP2vTFi,1405439415,古杯具,推荐大水的店的豆瓣小站O网页链接,,,,,0,2,0,2012-02-01 16:23,豆瓣web,['https://ww2.sinaimg.cn/large/53c54db7jw1dpmuj0nqbrj.jpg'],,
3408296528167060,y3tPuygCM,1405439415,古杯具,这是最好的城市这是最坏的城市这就是武汉#张大水#,,,,张大水,0,0,0,2012-02-01 16:24,微博 weibo.com,,,
3408296247602148,y3tP2vTFi,1405439415,古杯具,推荐大水的店的豆瓣小站O网页链接,,,,,0,2,0,2012-02-01 16:23,豆瓣web,['https://ww2.sinaimg.cn/large/53c54db7jw1dpmuj0nqbrj.jpg'],,
